round,accuracy,clean_accuracy,malicious_accuracy
1,0.049875,0.042265625,0.0803125
2,0.075625,0.069296875,0.1009375
3,0.135375,0.138125,0.124375
4,0.16775,0.17890625,0.123125
5,0.1719375,0.17078125,0.1765625
6,0.1631875,0.170703125,0.133125
7,0.163875,0.161875,0.171875
8,0.1388125,0.1453125,0.1128125
9,0.1328125,0.13875,0.1090625
10,0.1230625,0.128046875,0.103125
11,0.1186875,0.128359375,0.08
12,0.1145625,0.111015625,0.12875
13,0.0779375,0.083046875,0.0575
14,0.095625,0.101328125,0.0728125
15,0.081625,0.081015625,0.0840625
16,0.073625,0.08203125,0.04
17,0.0754375,0.06546875,0.1153125
18,0.069,0.076328125,0.0396875
19,0.056,0.05421875,0.063125
20,0.059125,0.06578125,0.0325
21,0.0530625,0.057421875,0.035625
22,0.0693125,0.0775,0.0365625
23,0.051875,0.054765625,0.0403125
24,0.0698125,0.07328125,0.0559375
25,0.055375,0.063203125,0.0240625
26,0.0634375,0.057734375,0.08625
27,0.061375,0.071171875,0.0221875
28,0.025,0.03125,0.0
29,0.025,0.03125,0.0
30,0.025,0.03125,0.0
31,0.025,0.03125,0.0
32,0.025,0.03125,0.0
33,0.025,0.03125,0.0
34,0.025,0.03125,0.0
35,0.025,0.03125,0.0
36,0.025,0.03125,0.0
37,0.025,0.03125,0.0
38,0.025,0.03125,0.0
39,0.025,0.03125,0.0
40,0.025,0.03125,0.0
41,0.025,0.03125,0.0
42,0.025,0.03125,0.0
43,0.025,0.03125,0.0
44,0.025,0.03125,0.0
45,0.025,0.03125,0.0
46,0.025,0.03125,0.0
47,0.025,0.03125,0.0
48,0.025,0.03125,0.0
49,0.025,0.03125,0.0
50,0.025,0.03125,0.0
